,Name,Description,Address,Neighborhoods,Rental listings,Year built,Structure,Web,Leasing Manager,Manager Phone,Phone
10,The Chrystie,The Chrystie is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym. Designed by Arquitectonica and SLCE.,"229 Chrystie Street,  New York, NY 10002","Lower East Side,   Manhattan",20 no-fee ads,2004  (approximate),14 floors 361 units,www.thechrystie.com,"Rose Associates, Inc",,646-893-2392
11,The Claremount,The Claremount is a   mid-rise  elevator  building.    The apartments  have  high ceilings.  Rent includes heat and hot water.,"229-231 East 12th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,7 floors 35 units,,,,
12,The Cooper,"“Built around the turn of the century, The Cooper is a beautiful five story elevator building located in the heart of the West Village. This prewar elevator building is a rarity for its location, and houses two very popular retail establishments including Wong Restaurant and Vagabond Cafe. The Cooper boasts thoughtfully renovated one-to-three-bedroom units, some which feature private backyards. The Cooper is conveniently located within short distance to several transportation hubs including West 4th Subway Station and several bus lines. ”","7 Cornelia Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1900,5 floors 50 units,,,,
13,The Crossroads,The Crossroads is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry and a gym.,"10 Rutgers Street,  New York, NY 10002","Chinatown, Two Bridges,   Manhattan",(no current listings),2001,8 floors 83 units,www.thecrossroadsnyc.com,,,
14,Deco East,Deco East is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry and a gym.   Rent includes heat and hot water.,"222 East 3rd Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),2002,8 floors 61 units,,,,
15,Delancey Crossing,Delancey Crossing is a  turn-of-the-century  mid-rise  elevator  building.,"35 Essex Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1910,9 floors 30 units,,,,
16,The East Luxe,The East Luxe is a   mid-rise  elevator  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"31 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
17,Eastville Gardens: 225 East 7th,Eastville Gardens: 225 East 7th is a  modern  mid-rise  doorman walk-up  building.   The building's amenities include a gym.,"225 East 7th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),2001,7 floors 70 units,,"C&C Apartment Management, LLC",212-348-3248  212-348-3602 fax,
18,Eastville Gardens: 342 East 8th,Eastville Gardens: 342 East 8th is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a gym.,"342 East 8th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),2001,7 floors 70 units,,"C&C Apartment Management, LLC",212-348-3248  212-348-3602 fax,
19,Eleven & Third,Eleven & Third is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry and a gym.,"200 East 11th Street,  New York, NY 10003","East Village,   Manhattan",3 no-fee ads,1986,12 floors 55 units,www.eleventhandthird.com,Greystar,,
20,Esther Apt,Esther Apt is a   mid-rise  walk-up  building.,"126 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,6 floors 25 units,,,,
21,EVE,EVE is a  modern  mid-rise  elevator  building.   The building's amenities include a laundry and a gym.,"433 East 13th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),2006,8 floors 96 units,,,,
22,Exhibit,Exhibit is a  modern  high-rise  doorman elevator  building.   The building's amenities include a laundry.,"60 Fulton Street,  New York, NY 10038","Financial District,   Manhattan",(no current listings),2016  (approximate),23 floors 120 units,,,,
23,Gateway Plaza,"Gateway Plaza is a Completed in 1983 as the first residential development in Battery Park City, Gateway consists of six towers, with over 1,700 apartments and a variety of professional and retail tenants.","345-395 South End Avenue,  New York, NY 10280","Battery Park City,   Manhattan",8 no-fee ads,1983,34 floors,www.gatewayny.com,,,866-310-6651
24,Gotham Court,Gotham Court is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"152 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),2002,7 floors 22 units,,,,
25,The Greenwich Lane,The Greenwich Lane is a 3-building complex.,"New York, NY","Central Village, Civic Center,   Manhattan",2 fee ads,,,,,,
26,The High Line Village,The High Line Village is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry and a garage.,"756 Washington Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),2003,11 floors 67 units,,,,
27,Hilary Gardens,"Hilary Gardens is a  post-war  high-rise  doorman elevator  building.   The building's amenities include a laundry, a gym, a pool, and a garage.","300 Mercer Street,  New York, NY 10003","Central Village,   Manhattan",1 no-fee ad,1976,35 floors 480 units,,Algin Management,212-213-1727,
28,The Hudson East,"The Hudson East is a building with a range of amenities including rooftop terraces, rear garden patios, and duplex live/work  spaces.","225 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1996,6 floors 86 units,,Lisa Management,212-353-8223 x104,
29,The Jesse,The Jesse is a   mid-rise  elevator  building.   The building's amenities include a laundry.,"176 East 3rd Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1931,6 floors 48 units,,"Gatsby Enterprises, LLC",,
30,jones l.e.s,jones l.e.s is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym.,"331 East Houston Street,  New York, NY 10002","Lower East Side,   Manhattan",4 no-fee ads,2014,13 floors 78 units,www.jonesles.com,,,
31,The Lara,The Lara is a  modern  high-rise  elevator  building.   The building's amenities include a gym.,"113 Nassau Street,  New York, NY 10038","Financial District,   Manhattan",(no current listings),2012,30 floors 168 units,www.thelaranyc.com,,,
32,Liberty Plaza,"Liberty Plaza is a  modern  high-rise  doorman elevator  building.   The building's amenities include a laundry, a gym, a pool, a garage, and a children's play room.  The apartments  have  high ceilings.","10 Liberty Street,  New York, NY 10005","Financial District,   Manhattan",13 no-fee ads,2003  (approximate),45 floors 287 units,,Glenwood Management,,212-430-5900
33,The Ludlow,The Ludlow is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym.,"188 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),2007  (approximate),23 floors 243 units,www.theludlownyc.com,,,
34,The Madison Jackson,The Madison Jackson is a   mid-rise  doorman elevator  building.   The building's amenities include a gym and a pool.,"371 Madison Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1908,6 floors 117 units,,,,
35,The Metro,The Metro is a  pre-war  high-rise  doorman  building.   The building's amenities include a laundry. Built in the Art Deco style.  The apartments  have  high ceilings.,"17 John Street,  New York, NY 10038","Financial District,   Manhattan",(no current listings),1923  (approximate),15 floors 111 units,,,,
36,Mulberry North,Mulberry North is a  post-war  mid-rise  doorman elevator  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"304 Mulberry Street,  New York, NY 10012","NoHo,   Manhattan",(no current listings),1974,7 floors 90 units,,Broad Street Development,,866-490-8132
37,Mulberry South,Mulberry South is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry.  Some of the apartments in this building  have  high ceilings.,"298 Mulberry Street,  New York, NY 10012","NoLiTa, NoHo,   Manhattan",(no current listings),1986,7 floors 100 units,,Broad Street Development,212-609-3700,
38,The Nathaniel,The Nathaniel is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a gym.,"138 East 12th Street,  New York, NY 10003","East Village,   Manhattan",2 no-fee ads,2012,9 floors 85 units,www.thenathanielny.com,"Rose Associates, Inc",,646-893-2651
39,New York by Gehry,"New York by Gehry is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym, a pool, and a children's play room. At 870 feet, 8 Spruce Street (New York By Gehry) was the tallest residential building in the Western Hemisphere when it was built in the first decade of the 21st century.  The building has a 100,000 sq ft public school downstairs, an ambulatory care facility for New York Downtown Hospital, 1,300 sq ft of ground-floor retail space and one level of below-grade hospital parking. Two public plazas border the building.  8 Spruce was designed by architect Frank Gehry.","8 Spruce Street,  New York, NY 10038","Financial District,   Manhattan",4 no-fee ads,2007,76 floors 901 units,www.newyorkbygehry.com,,,212-877-2220
40,New York Plaza,"New York Plaza is a  modern  high-rise  doorman elevator  building.   The building's amenities include a children's play room.  The apartments  have  high ceilings (10' 0"" - 12' 0"").","2 Water Street,  New York, NY 10004","Financial District,   Manhattan",5 no-fee ads,1985,19 floors 97 units,www.newyorkplaza.com,,,
41,Ocean 1 West,"Ocean 1 West is a  turn-of-the-century  high-rise  landmark doorman elevator  building.   The building's amenities include a laundry, a gym, and a garage. At one time one of the largest office buildings in the world,  today Ocean 1 West is a mixed-use office (lower floors) and  residential (from the 13th floor up) building.  The two sections have separate entrances.    The apartments  have  high ceilings.","17 Battery Place,  New York, NY 10004","Financial District,   Manhattan",(no current listings),1902,31 floors 500 units,www.ocean1west.com,The Moinian Group,,212-742-0201
42,One Union Square South,One Union Square South is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym.,"1 Union Square South,  New York, NY 10003","Central Village,   Manhattan",3 no-fee ads,1998,33 floors 187 units,,"Related Companies, Inc",,917-720-4629
43,Post Towers,"Post Towers is a  pre-war  high-rise  doorman elevator  building.   The building's amenities include a laundry and a gym. The building is named Post Towers after The New York Post, for which it was built in 1926.   The apartments  have  high ceilings.","75 West Street,  New York, NY 10006","Financial District,   Manhattan",5 no-fee ads,1926  (approximate),18 floors 206 units,,Skyline Developers,,(917) 983-2811
44,Red Square,Red Square is a  modern  high-rise  doorman elevator  building.   The building's amenities include a laundry.,"250 East Houston Street,  New York, NY 10002","Alphabet City, East Village,   Manhattan",6 no-fee ads,1989,13 floors 130 units,,"Dermot Realty Management Co., Inc",212-488-1770 main 646-747-6131 leasing,
45,Renaissance at 100 John,"Renaissance at 100 John is a   high-rise  doorman elevator  building.   The building's amenities include a laundry. The building offers a variety of apartment layouts, many with terraces (over 30% of all apartments) and home offices. Another selling point is ample natural light - a rarity in the Wall Street area.","100 John Street,  New York, NY 10038","Financial District,   Manhattan",3 no-fee ads,1931,29 floors 221 units,www.100john.com,The Moinian Group,,212-489-6666
46,Riverwatch,"Riverwatch is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry, a gym, and a garage.","70 Battery Place,  New York, NY 10280","Battery Park City,   Manhattan",6 no-fee ads,1998,9 floors 209 units,,Clipper Equity,,212.217.9088
47,The Saranac,"“Located at Broadway between Worth Street and Catherine Lane, Saranac offers a variety of one, two and three bedroom layouts. Saranac apartments have 9’ ceilings and contemporary kitchens featuring large granite dining counters with cherry finish birch cabinetry. Many apartments enjoy spectacular views of the historic Clock Tower Building and the Woolworth Building. Saranac’s top three floors provide large two and three bedroom homes with additional amenities such as marble baths, washer/dryers and real wood-burning fireplaces. Two top floor penthouses offer extra high ceilings, skylights, huge terraces, greenhouse windows and private elevator access. Building amenities include 24 hour doorman service, attended garage, a fully equipped exercise facility with an adjacent laundry and exterior recreation space, as well as an outdoor sundeck on the top floor. Fiber optic wiring offers high speed Internet access, multiple phone lines and cable television. ”","95 Worth Street,  New York, NY 10013","Civic Center,   Manhattan",1 no-fee ad,2000  (approximate),16 floors 147 units,www.saranacnyc.com,Manhattan Skyline Management Corp.,,347-992-6931
48,The Seville,The Seville is a   low-rise  landmark elevator  building.   The building's amenities include a laundry.,"11 Cornelia Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1900,5 floors 47 units,,,,
49,The Shepherd House,The Shepherd House is a  turn-of-the-century  mid-rise  landmark doorman elevator  building.,"277 West 10th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1895,12 floors 144 units,,First Service Residential,,
50,Sheridan Arms,Sheridan Arms is a   mid-rise  elevator  building.   The building's amenities include a laundry.,"15 Sheridan Square,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1924,6 floors 52 units,,S.W. Management / City & Suburban,212-517-3000,
51,The Sione,The Sione is a    doorman  building.   The building's amenities include a laundry and a gym.,"171 Suffolk Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),,,,,,
52,Skidmore House,Skidmore House is a   low-rise  landmark doorman elevator  building.   The building's amenities include a gym and a pool.,"37 East 4th Street,  New York, NY 10003","NoHo,   Manhattan",(no current listings),1900,4 floors 10 units,,"Rose Associates, Inc",212-210-6797,
53,The Sky East,The Sky East is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry.,"636 East 11th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1985,7 floors 62 units,,"Magnum Management, LLC",212-941-9399,
54,SOHO Court,"“Soho Court, located on East Houston and Elizabeth Streets,  is a 12-story, luxury rental property set in the heart of  Manhattan’s most energetic and vital neighborhood. Offering  a variety of unique studio, one and two bedroom layouts,  Soho Court’s superior apartment amenities include  contemporary kitchens with 9’ high ceilings, ceramic  tile floors, oversized dining counters, and maple wood  designer cabinets, and bathrooms with tri-view mirrored  medicine cabinets and matching maple wood vanities.  The Penthouse level apartments feature terraces,  skylights and fireplaces. All residences have the  availability of high speed Internet access. The building  also provides the unique feature of an in-house exercise  room with adjacent laundry facilities allowing tenants  the convenience of completing both of these arduous tasks  simultaneously. There is also an on-site garage and a  peaceful, private garden courtyard. ”","301 Elizabeth Street,  New York, NY 10012","NoHo,   Manhattan",2 no-fee ads,1997,12 floors,manhattanskyline.com,Manhattan Skyline Management Corp.,,347-728-0380
55,The Solaire,"The Solaire is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym, a garage, and a children's play room.","20 River Terrace,  New York, NY 10282","Battery Park City,   Manhattan",(no current listings),2002,27 floors 293 units,,"Albanese Organization, Inc",,212-227-0222
56,South Cove Plaza,"South Cove Plaza is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry, a gym, and a garage.","50 Battery Place,  New York, NY 10280","Battery Park City,   Manhattan",6 no-fee ads,2000  (approximate),9 floors 209 units,www.southcoveplaza.com,"RY Management Co., Inc",212-534-7771,
57,The Stanton,The Stanton is a  post-war  mid-rise  elevator  building.   The building's amenities include a laundry and a gym.,"196 Stanton Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1950,8 floors 53 units,www.thestantonny.com,,,
58,Tompkins Square Plaza,Tompkins Square Plaza is a Two towers with a plaza and fountain area separating them. Art openings from various local artists are held approximately  4 times per year in the lobby and all tenants are invited to attend.,"190 East 7th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1998,7 floors 174 units,,"The Downtown, LLC",,
59,Tribeca Bridge Tower,Tribeca Bridge Tower is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym and a children's play room.  The apartments  have  high ceilings.,"450 North End Avenue,  New York, NY 10282","Battery Park City,   Manhattan",1 no-fee ad,1998,25 floors 151 units,,Glenwood Management,,212-430-5900
60,Tribeca Green,Tribeca Green is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym and a children's play room. The building offers several environmentally-friendly features.,"325 North End Avenue,  New York, NY 10282","Battery Park City,   Manhattan",(no current listings),2004  (approximate),24 floors 274 units,,"Related Companies, Inc",,917-720-2774
61,Tribeca Park,"Tribeca Park is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym, a pool, a garage, and a children's play room.","400 Chambers Street,  New York, NY 10282","Battery Park City,   Manhattan",3 no-fee ads,1998,27 floors 396 units,,"Related Companies, Inc",,917-720-7550
62,Tribeca Pointe,Tribeca Pointe is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym and a children's play room.,"41 River Terrace,  New York, NY 10282","Battery Park City,   Manhattan",5 no-fee ads,1998,20 floors 340 units,www.rockrose.com,Rockrose Development LLC,212-847-3700,
63,Tribeca Tower,Tribeca Tower is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym and a pool. The building features a two-story lobby.,"105 Duane Street,  New York, NY 10007","TriBeCa,   Manhattan",5 no-fee ads,1990  (approximate),52 floors 440 units,,"Related Companies, Inc",,917-720-7532
64,Truffles Tribeca,Truffles Tribeca is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym.,"34 Desbrosses Street,  New York, NY 10013","TriBeCa,   Manhattan",(no current listings),2007,15 floors 283 units,,"Related Companies, Inc",646-961-4331 rentals (leasing) 646-735-2833 rentals 212-801-1000 management/corporate,
65,Twenty Broad,Twenty Broad is a  post-war  high-rise  elevator  building.,"20 Broad Street,  New York, NY 10005","Financial District,   Manhattan","14 no-fee, 1 fee ads",1956,30 floors 533 units,www.20broadst.com,"Metro Loft Management, LLC",212-706-3030,
66,The Verdesian,"The Verdesian is a  modern  high-rise  doorman elevator  building.   The building's amenities include a gym, a garage, and a children's play room. The building is energy efficient.","211 North End Avenue,  New York, NY 10282","Battery Park City,   Manhattan",5 no-fee ads,2005  (approximate),24 floors 253 units,www.theverdesian.com,"Albanese Organization, Inc",,212-227-0222
67,The Villager,"“The Villager is a landmark prewar commercial building that has been converted into 31 luxury apartments. The building’s distinctive façade, unique apartments and an ideal Greenwich Village location have made it one of the neighborhood’s most desirable rental residences. The Villager offers oversized loft-style studio, one and two bedroom apartments. Some of the residences are duplexes, including duplex penthouse apartments with huge terraces. All apartments enjoy original 13’ high ceilings; many feature exposed brick walls and wood burning fireplaces. Laundry on each floor and a Part Time doorman complete the package. ”","450 Sixth Avenue,  New York, NY 10011","Central Village,   Manhattan",1 no-fee ad,1902,6 floors 34 units,www.thevillagernyc.com,Manhattan Skyline Management Corp.,,646-342-2161
68,The West Coast,"The West Coast is a  pre-war  mid-rise  landmark doorman elevator  building.   The building's amenities include a laundry, a gym, a garage, and a children's play room.  The apartments  have  high ceilings.","95 Horatio Street,  New York, NY 10014","West Village,   Manhattan",1 no-fee ad,1930,10 floors 272 units,www.95horatio.com,TF Cornerstone Inc.,,212-727-3500
69,1 Astor Place,1 Astor Place is a  turn-of-the-century  mid-rise  landmark doorman elevator  building.   Red brick and terracotta façades. Cast-iron base.,"1 Astor Place,  New York, NY 10003","Central Village,   Manhattan",(no current listings),1909,12 floors 176 units,,,,
70,1 Bank Street,1 Bank Street is a   mid-rise  landmark doorman elevator  building.    The apartments  have  high ceilings.,"1 Bank Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1930,6 floors 78 units,,,,
71,1 Christopher Street,1 Christopher Street is a  pre-war  high-rise  landmark doorman elevator  building.   The building's amenities include a laundry. The building has preserved many pre-war details.  The apartments  have  high ceilings.,"1 Christopher Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1931,16 floors 127 units,,,,
72,1 Dutch Street,1 Dutch Street is a  turn-of-the-century  high-rise  doorman  building.   The building's amenities include a gym.,"1 Dutch Street,  New York, NY 10038","Financial District,   Manhattan",3 no-fee ads,1908,14 floors 84 units,,,,
73,1 Jane Street,1 Jane Street is a   mid-rise  landmark elevator  building.,"1 Jane Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1927,6 floors 36 units,,,,
74,1 University Place,1 University Place is a   high-rise  doorman elevator  building.,"1 University Place,  New York, NY 10003","Central Village,   Manhattan",(no current listings),1930,21 floors 263 units,,,,
75,10 Downing Street,"10 Downing Street is a  mid-twentieth century  mid-rise  landmark doorman elevator  building.   The building's amenities include a laundry. The building (constructed in 1941) occupies almost the entire block along Avenue of the Americas between Bedford Street  and Downing Street. Totaling 105,222 sq ft, this 7-story landmark building offers 22 different types of apartment lines, many with unique architectural details such as sunken (""step-down"") living rooms.","10 Downing Street,  New York, NY 10014","Central Village,   Manhattan",5 no-fee ads,1941  (approximate),7 floors 114 units,www.stonehengenyc.com,Stonehenge Management LLC,646-524-8104,
76,10 East 13th Street,10 East 13th Street is a   mid-rise  elevator  building.,"10 East 13th Street,  New York, NY 10003","Central Village,   Manhattan",(no current listings),1900,6 floors 54 units,,,,
77,10 Hanover Square,10 Hanover Square is a  post-war  high-rise  doorman elevator  building.   The building's amenities include a gym.  The apartments  have  high ceilings.,"10 Hanover Square,  New York, NY 10005","Financial District,   Manhattan",7 no-fee ads,1972,21 floors 493 units,www.10hanover.com,"UDR, Inc",,
78,10 Jones Street,10 Jones Street is a   mid-rise  landmark elevator  building.   The building's amenities include a laundry.  The apartments  have  very  high ceilings. Located two blocks from Washington Square Park.,"10 Jones Street,  New York, NY 10014","Central Village,   Manhattan",1 no-fee ad,1920,8 floors 59 units,www.abingtonproperties.com,Abington Properties,212-759-5000,
79,10 Morton Street,10 Morton Street is a   mid-rise  landmark walk-up  building.,"10 Morton Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1910,6 floors 32 units,,,,
80,10 Saint Marks Place,10 Saint Marks Place is a   low-rise  walk-up  building.,"10 Saint Marks Place,  New York, NY 10003","East Village,   Manhattan",1 fee ad,1900,5 floors 20 units,,,,
81,10 Sheridan Square,10 Sheridan Square is a  pre-war  high-rise  landmark doorman elevator  building.,"10 Sheridan Square,  New York, NY 10014","West Village, Central Village,   Manhattan",2 no-fee ads,1929,14 floors 74 units,,,,
82,10 St. Marks Place,10 St. Marks Place is a   low-rise  walk-up  building.,"10 St. Marks Place,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
83,100 Allen Street,100 Allen Street is a   low-rise  elevator  building.,"100 Allen Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 15 units,,Wholesome Realty Management,212-334-9011  917-513-3716,
84,100 Charlton Street,100 Charlton Street is a   low-rise  walk-up  building.,"100 Charlton Street,  New York, NY 10014","Hudson Square, SoHo,   Manhattan",(no current listings),1900,4 floors 16 units,,,,
85,100 Forsyth Street,100 Forsyth Street is a   low-rise  walk-up  building.,"100 Forsyth Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1900,5 floors 18 units,,,,
86,100 Fulton Street,100 Fulton Street is a  turn-of-the-century  high-rise  elevator  building.,"100 Fulton Street,  New York, NY 10038","Financial District,   Manhattan",(no current listings),1905,16 floors 30 units,,,,
87,100 Jane Street,"100 Jane Street is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a gym.  While the building itself is modern, it is located in the neighborhood full of  quaint brownstone houses, with easy access to the West Village's attractions and conveniences.","100 Jane Street,  New York, NY 10014","West Village,   Manhattan",1 no-fee ad,1996  (approximate),9 floors 148 units,www.rockrose.com,Rockrose Development LLC,,212-691-9800
88,100 Madison Street,100 Madison Street is a   low-rise  walk-up  building.,"100 Madison Street,  New York, NY 10002","Chinatown, Two Bridges,   Manhattan",(no current listings),1900,5 floors 17 units,,,,
89,100 Maiden Lane,"100 Maiden Lane is a   high-rise  doorman elevator  building.   The building's amenities include a gym and a garage. Former headquarters of Cadwalader Wickersham & Taft, converted into a residential building in 2005. The centerpiece of 100 Maiden Lane is its 100-foot-high atrium topped by a glass skylight.    The apartments  have  high ceilings (9' 0"" - 12' 0"").","100 Maiden Lane,  New York, NY 10038","Financial District,   Manhattan",1 no-fee ad,1930,24 floors 340 units,www.100maidenlane.com,,,212-797-0100
90,100 St. Marks Place,100 St. Marks Place is a   low-rise  walk-up  building.,"100 St. Marks Place,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
91,100 Stanton Street,100 Stanton Street is a   low-rise  walk-up  building.,"100 Stanton Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,5 floors 16 units,,,,
92,100 Suffolk Street,100 Suffolk Street is a   low-rise  walk-up  building.,"100 Suffolk Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
93,101 Charles Street,101 Charles Street is a   low-rise  landmark walk-up  building.,"101 Charles Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1901,5 floors 20 units,,,,
94,101 Delancey Street,101 Delancey Street is a   mid-rise  walk-up  building.,"101 Delancey Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 20 units,,,,
95,101 Stanton Street,101 Stanton Street is a   mid-rise  walk-up  building.,"101 Stanton Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 15 units,,,,
96,102 Bayard Street,102 Bayard Street is a   low-rise  walk-up  building.,"102 Bayard Street,  New York, NY 10013","Chinatown,   Manhattan",(no current listings),1890,5 floors 18 units,,,,
